"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"GBR,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",478.799,"
"GBR,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",481.291,"
"GBR,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",481.998,"
"GBR,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",467.061,"
"EST,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",356.162,""B"""
"EST,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",359.266,"
"EST,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",376.672,"
"EST,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",392.202,"
"SVN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",430.602,"
"SVN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",446.282,"
"SVN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",453.755,"
"SVN,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",468.323,"
"OECD,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",520.618,""E"""
"OECD,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",523.158,""E"""
"OECD,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",526.838,""E"""
"OECD,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",524.385,""E"""
"LVA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",360.097,"
"LVA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",400.499,"
"LVA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",407.236,"
"LVA,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",436.32,"
"LTU,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2014"",428.871,"
"LTU,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2015"",443.395,"
"LTU,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2016"",437.397,"
"LTU,""WASTEMUN"",""TOT"",""KG_CAP"",""A"",""2017"",445.086,"
