"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"EST,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",11.5,"
"EST,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",12.4,"
"LVA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",3.4,"
"LVA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",3.5,"
"LVA,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",3.5,"
"LTU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",3.6,"
"LTU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",3.6,"
"LTU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",3.7,"
"MLT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",5.5,"
"MLT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",3.8,"
"MLT,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",3.1,"
"ROU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",3.4,"
"ROU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",3.5,"
"ROU,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",3.4,"
"SVN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2014"",6.2,"
"SVN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2015"",6.2,"
"SVN,""AIREMISSION"",""CO2"",""TONNE_CAP"",""A"",""2016"",6.6,"
